,Emp_Id,Age,Attrition,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Q1_Longest_Streak_OUT,Q2_Longest_Streak_OUT,Q3_Longest_Streak_OUT,Q4_Longest_Streak_OUT,Q1_Longest_Streak_IN,Q2_Longest_Streak_IN,Q3_Longest_Streak_IN,Q4_Longest_Streak_IN,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
1114,1115,39,0,1,3,1,105120,1.0,12,1,10.0,2,10,7,9,1.0,1.0,3.0,3,3,1,1,0,2,1,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1115,1116,38,0,4,2,1,44440,1.0,13,0,20.0,2,20,0,7,4.0,2.0,3.0,3,3,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1116,1117,58,0,5,3,5,21540,4.0,21,1,29.0,3,1,0,0,4.0,4.0,2.0,3,4,1,1,0,2,3,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1117,1118,32,1,9,3,2,191900,3.0,17,1,8.0,2,4,0,3,1.0,3.0,3.0,3,3,2,0,3,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1118,1119,38,0,3,4,1,44900,2.0,21,1,10.0,1,5,0,3,2.0,4.0,4.0,3,4,0,2,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1119,1120,49,0,11,4,2,35060,3.0,11,1,28.0,4,5,4,3,2.0,4.0,3.0,2,3,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1120,1121,42,0,1,3,1,23720,3.0,12,1,14.0,3,0,0,0,2.0,4.0,3.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1121,1122,27,1,8,1,4,102310,1.0,13,1,1.0,2,1,0,0,1.0,2.0,3.0,3,3,1,0,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1122,1123,35,0,25,1,1,54100,0.0,18,0,6.0,4,5,0,4,2.0,1.0,1.0,3,3,4,0,0,3,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1123,1124,28,0,21,1,3,79780,1.0,16,2,5.0,2,5,1,4,3.0,3.0,2.0,3,3,0,5,0,1,0,4,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1124,1125,31,0,23,1,1,38670,1.0,11,1,4.0,4,4,2,3,3.0,1.0,4.0,4,3,0,0,0,1,3,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1125,1126,36,0,1,3,2,28380,1.0,19,2,5.0,5,5,0,2,1.0,2.0,3.0,1,3,1,0,0,0,0,0,1,4,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1126,1127,34,0,2,3,4,46950,1.0,16,1,14.0,2,14,2,1,1.0,4.0,2.0,3,3,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1127,1128,34,0,19,3,1,33390,1.0,16,0,9.0,2,8,1,1,4.0,3.0,2.0,2,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1128,1129,26,0,2,2,2,20800,0.0,13,0,8.0,6,7,7,6,3.0,1.0,2.0,4,3,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1129,1130,29,0,2,4,2,20960,0.0,22,0,6.0,2,5,0,2,1.0,1.0,2.0,4,4,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1130,1131,32,0,3,1,3,62090,5.0,17,1,9.0,5,5,1,2,3.0,4.0,3.0,4,3,0,0,2,2,3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1131,1132,31,0,25,5,2,180610,1.0,14,1,10.0,2,10,8,7,4.0,1.0,3.0,3,3,3,0,0,0,2,2,0,5,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1132,1133,28,1,7,5,2,171230,5.0,15,1,6.0,2,4,0,3,3.0,4.0,2.0,2,3,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1133,1134,38,0,9,2,3,23720,4.0,12,0,20.0,3,1,0,0,1.0,1.0,2.0,2,3,0,2,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1134,1135,35,0,5,3,2,48830,1.0,18,1,10.0,1,10,0,9,3.0,4.0,3.0,1,3,3,4,1,0,0,1,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1135,1136,27,0,2,3,1,39040,1.0,15,0,7.0,2,7,0,7,4.0,4.0,3.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1136,1137,32,0,8,1,2,46270,8.0,17,1,8.0,2,1,0,0,4.0,4.0,3.0,2,3,3,0,0,2,3,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1137,1138,31,1,2,1,3,70940,1.0,14,1,10.0,2,10,0,8,1.0,4.0,3.0,3,3,6,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1138,1139,53,1,18,3,1,34230,6.0,15,1,15.0,4,2,2,2,1.0,1.0,2.0,3,3,0,0,2,0,0,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1139,1140,54,0,14,3,3,66740,3.0,17,1,9.0,2,4,2,3,1.0,3.0,2.0,3,3,0,0,0,2,1,0,0,6,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1140,1141,33,0,2,4,4,168800,1.0,14,3,9.0,2,9,2,8,4.0,3.0,3.0,3,3,0,0,0,3,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1141,1142,43,0,3,3,1,90940,1.0,12,1,10.0,0,10,0,9,1.0,3.0,3.0,3,3,4,2,0,0,3,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1142,1143,38,0,2,5,4,84460,0.0,14,0,7.0,3,6,1,2,4.0,2.0,3.0,2,3,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1143,1144,55,0,9,3,2,119160,4.0,15,1,35.0,3,10,1,4,3.0,2.0,3.0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1144,1145,31,0,6,3,1,45340,1.0,13,0,1.0,2,1,0,0,4.0,4.0,3.0,3,3,0,2,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1145,1146,39,0,4,3,2,98520,0.0,12,1,21.0,5,20,11,10,2.0,1.0,3.0,2,3,0,1,0,2,1,4,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1146,1147,42,0,10,4,2,61510,1.0,13,1,20.0,3,20,3,7,4.0,3.0,3.0,3,3,6,4,0,4,3,0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1147,1148,31,0,14,2,2,23020,4.0,14,0,13.0,3,11,4,8,3.0,3.0,4.0,3,3,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1148,1149,54,0,1,3,2,23620,6.0,13,1,9.0,2,5,1,4,3.0,1.0,3.0,4,3,3,0,2,0,1,1,0,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1149,1150,24,0,5,4,1,178610,1.0,11,2,4.0,5,4,1,2,2.0,3.0,2.0,1,3,0,2,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1150,1151,23,0,7,3,2,191870,1.0,11,1,5.0,2,5,1,4,4.0,4.0,4.0,3,3,2,0,0,3,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1151,1152,40,0,21,3,3,197170,1.0,21,0,10.0,1,10,9,4,4.0,3.0,4.0,2,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1152,1153,40,0,8,1,5,35440,3.0,18,3,15.0,3,11,5,10,2.0,2.0,3.0,2,3,0,7,0,4,1,9,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1153,1154,25,0,20,5,2,85000,4.0,12,0,6.0,2,2,1,2,3.0,2.0,3.0,3,3,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1154,1155,30,0,20,4,2,46610,1.0,11,0,12.0,3,12,1,7,4.0,2.0,2.0,2,3,5,2,1,4,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1155,1156,25,0,7,2,5,41030,6.0,15,1,7.0,2,2,0,2,4.0,3.0,2.0,3,3,0,2,0,7,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1156,1157,47,0,1,4,2,42490,2.0,13,1,25.0,2,17,12,11,1.0,3.0,3.0,2,3,3,0,0,6,0,1,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1157,1158,33,0,1,3,2,140260,1.0,12,0,1.0,4,1,0,0,2.0,3.0,2.0,3,3,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1158,1159,38,0,19,3,2,68930,0.0,17,0,16.0,3,15,5,8,4.0,2.0,3.0,3,3,1,0,0,9,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1159,1160,31,0,10,4,3,61250,0.0,13,1,3.0,3,2,1,2,1.0,3.0,3.0,3,3,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1160,1161,38,0,1,4,2,36690,2.0,19,0,10.0,2,8,7,7,1.0,3.0,3.0,3,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1161,1162,42,0,6,3,2,100080,6.0,19,1,9.0,3,4,1,2,4.0,1.0,2.0,1,3,4,0,0,2,1,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1162,1163,41,0,2,2,1,23870,3.0,17,1,12.0,1,5,1,0,4.0,4.0,3.0,1,3,0,0,0,4,0,2,1,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1163,1164,47,0,21,2,1,46390,0.0,11,1,14.0,2,13,5,12,3.0,2.0,1.0,2,3,0,0,0,2,0,2,3,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1164,1165,35,0,4,3,2,78980,7.0,15,0,5.0,2,2,2,2,4.0,3.0,3.0,2,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1165,1166,22,0,12,1,2,25340,0.0,11,0,4.0,1,3,1,2,4.0,3.0,4.0,3,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1166,1167,35,0,9,3,2,131420,1.0,25,2,10.0,4,10,0,8,2.0,3.0,3.0,3,4,2,2,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1167,1168,33,0,3,4,3,16110,0.0,14,0,10.0,2,9,8,1,2.0,4.0,3.0,2,3,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1168,1169,32,0,3,2,3,53630,1.0,13,0,6.0,4,6,4,1,3.0,2.0,3.0,3,3,1,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1169,1170,40,0,1,4,2,50710,8.0,17,1,8.0,3,1,0,0,1.0,4.0,2.0,2,3,5,7,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1170,1171,32,0,1,2,3,136950,0.0,13,0,3.0,3,2,2,2,2.0,2.0,3.0,3,3,6,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1171,1172,39,0,4,4,1,134020,7.0,14,1,18.0,1,7,1,7,1.0,4.0,3.0,3,3,0,0,2,0,0,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1172,1173,38,0,20,4,2,20290,3.0,11,1,20.0,3,18,1,11,2.0,3.0,3.0,2,3,0,3,2,0,0,7,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1173,1174,32,0,18,3,2,63770,1.0,12,2,14.0,3,14,5,7,3.0,4.0,3.0,3,3,1,0,0,2,1,0,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1174,1175,37,0,1,3,4,54290,1.0,17,1,16.0,3,16,6,8,3.0,4.0,3.0,3,3,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1175,1176,25,0,2,4,2,27850,0.0,21,0,6.0,2,5,0,4,1.0,3.0,2.0,3,4,0,1,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1176,1177,52,0,2,4,1,46140,2.0,16,1,16.0,3,9,0,0,1.0,4.0,2.0,3,3,0,2,0,0,1,5,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1177,1178,44,0,8,1,1,26100,6.0,15,0,6.0,2,4,1,2,2.0,4.0,3.0,3,3,1,0,0,0,2,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1178,1179,21,0,10,5,3,66870,1.0,19,3,2.0,0,2,1,2,3.0,1.0,3.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1179,1180,39,0,3,4,2,47240,2.0,12,1,21.0,4,6,1,3,4.0,4.0,2.0,4,3,2,2,0,0,3,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1180,1181,23,1,2,4,2,61790,1.0,11,0,1.0,3,1,1,0,4.0,1.0,2.0,3,3,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1181,1182,36,0,24,3,2,61200,0.0,19,0,10.0,2,9,3,4,1.0,4.0,3.0,3,3,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1182,1183,36,0,16,1,2,105960,7.0,15,0,18.0,3,4,0,2,4.0,2.0,3.0,2,3,1,0,0,0,2,0,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1183,1184,56,0,8,1,1,54670,1.0,20,0,13.0,6,13,1,9,3.0,3.0,2.0,2,4,3,0,1,0,1,4,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1184,1185,29,1,9,4,2,29960,9.0,25,0,4.0,4,2,2,2,1.0,4.0,4.0,3,4,0,0,1,4,2,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1185,1186,42,0,17,1,3,99980,5.0,24,2,24.0,3,22,4,14,1.0,3.0,2.0,2,4,0,0,0,2,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1186,1187,56,1,10,4,2,40780,8.0,24,1,14.0,3,10,9,8,4.0,3.0,1.0,3,4,2,1,1,2,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1187,1188,41,0,13,4,1,109200,0.0,15,1,21.0,3,20,0,10,1.0,2.0,3.0,4,3,0,2,0,0,0,4,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1188,1189,34,0,1,3,1,62320,1.0,13,1,8.0,3,8,1,7,4.0,3.0,3.0,3,3,0,2,2,0,1,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1189,1190,36,0,1,1,1,132470,1.0,14,0,15.0,3,15,11,11,4.0,4.0,2.0,3,3,0,0,0,2,0,0,7,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1190,1191,41,0,1,5,1,40810,2.0,13,0,14.0,3,5,0,4,3.0,2.0,3.0,3,3,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1191,1192,32,0,9,4,2,57690,1.0,11,0,4.0,3,4,1,2,4.0,1.0,3.0,3,3,6,0,0,1,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1192,1193,35,0,16,3,2,23940,1.0,16,1,9.0,3,9,1,7,3.0,4.0,3.0,3,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1193,1194,38,0,23,3,3,39040,1.0,22,0,10.0,3,10,1,9,1.0,4.0,3.0,2,4,3,0,0,1,3,0,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1194,1195,50,1,4,2,2,167990,7.0,14,1,12.0,2,6,0,1,2.0,3.0,3.0,2,3,0,3,0,4,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1196,1197,45,0,24,3,1,36290,8.0,16,1,8.0,2,5,0,1,4.0,3.0,3.0,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1198,1199,35,0,7,2,2,32290,1.0,25,0,10.0,2,10,0,2,3.0,3.0,4.0,2,4,0,1,0,3,5,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1199,1200,40,0,17,4,1,35780,2.0,14,1,20.0,2,5,0,2,3.0,3.0,3.0,3,3,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1200,1201,35,0,14,1,2,79880,1.0,18,0,4.0,3,4,1,1,3.0,4.0,3.0,3,3,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1201,1202,29,0,1,3,3,42840,4.0,11,0,10.0,5,4,0,3,4.0,2.0,3.0,2,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1202,1203,29,0,5,3,2,75530,1.0,19,0,5.0,3,5,0,4,4.0,1.0,1.0,3,3,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1203,1204,50,1,17,3,1,173280,4.0,15,2,20.0,1,3,2,0,4.0,1.0,3.0,3,3,5,0,0,2,0,1,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1204,1205,39,0,25,3,2,197010,0.0,11,0,21.0,3,20,9,6,2.0,4.0,2.0,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1205,1206,31,0,8,4,4,147320,0.0,12,0,10.0,3,9,1,7,2.0,1.0,3.0,3,3,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1206,1207,26,0,11,4,2,92780,0.0,20,0,5.0,3,4,0,0,4.0,3.0,3.0,3,4,1,0,0,0,2,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1207,1208,36,0,5,1,1,13590,4.0,12,0,17.0,2,5,0,3,3.0,4.0,3.0,3,3,0,0,4,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1208,1209,39,0,2,1,1,47790,4.0,14,2,9.0,3,7,1,7,4.0,1.0,3.0,3,3,2,0,5,5,2,0,2,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1209,1210,27,0,8,2,1,164220,1.0,20,1,6.0,3,6,0,3,2.0,2.0,3.0,3,4,0,0,1,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1210,1211,49,0,6,1,3,29960,2.0,18,1,17.0,2,9,0,8,4.0,2.0,2.0,2,3,0,0,1,3,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1211,1212,34,0,4,3,1,12610,2.0,14,1,6.0,6,4,1,2,2.0,3.0,4.0,3,3,0,0,0,0,0,4,1,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1212,1213,41,1,7,2,1,20990,8.0,12,1,8.0,2,6,0,5,2.0,4.0,1.0,3,3,0,0,2,2,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1213,1214,49,0,1,4,2,58100,1.0,21,1,10.0,2,10,1,7,3.0,2.0,3.0,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1214,1215,37,1,2,3,1,56470,6.0,19,0,7.0,2,0,0,0,4.0,3.0,3.0,3,3,6,1,0,1,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1215,1216,33,0,10,2,2,34200,1.0,14,0,8.0,3,8,3,0,4.0,3.0,3.0,3,3,0,2,0,5,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1216,1217,27,0,5,4,4,44000,9.0,17,1,6.0,3,2,2,2,1.0,2.0,3.0,2,3,0,10,3,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1217,1218,32,0,9,2,2,35000,0.0,16,1,8.0,2,7,3,6,4.0,4.0,2.0,2,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1218,1219,59,0,2,2,5,20660,4.0,12,1,12.0,3,1,0,0,3.0,1.0,2.0,3,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1219,1220,30,0,11,4,2,171690,1.0,17,2,1.0,2,1,0,0,4.0,3.0,3.0,3,3,3,6,2,8,0,1,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1220,1221,38,0,18,4,2,41620,0.0,15,1,10.0,1,9,1,8,4.0,3.0,3.0,3,3,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1221,1222,36,0,7,3,1,92040,6.0,23,1,17.0,2,7,7,7,3.0,3.0,2.0,3,4,1,2,2,1,4,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1222,1223,35,0,3,4,2,32940,0.0,11,0,6.0,2,5,0,3,1.0,2.0,3.0,3,3,5,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1223,1224,29,0,29,4,2,21270,0.0,11,1,10.0,3,9,0,8,4.0,3.0,3.0,2,3,1,0,0,2,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1225,1226,34,0,28,3,1,107930,0.0,11,3,3.0,1,2,1,2,2.0,4.0,3.0,2,3,0,2,0,0,2,2,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
